sender_Id,rec_Id,message_subject,message_body,type,reply
15,196,normal,hello there,normal,
14,186,normal,hello there,normal,
23,54,normal,hello there,normal,
54,35,normal,hello there,normal,
95,16,normal,hello there,normal,
7,15,normal,hello there,normal,
8,45,normal,hello there,normal,
6,89,normal,hello there,normal,
5,90,normal,hello there,normal,
4,94,normal,hello there,normal,
8,87,normal,hello there,normal,
5,65,normal,hello there,normal,
8,33,normal,hello there,normal,
2,66,normal,hello there,normal,
1,22,normal,hello there,normal,
56,15,normal,hello there,normal,
89,14,normal,hello there,normal,
65,23,normal,hello there,normal,
56,54,normal,hello there,normal,
112,95,normal,hello there,normal,
196,7,normal,hello there,normal,
186,8,normal,hello there,normal,
54,6,normal,hello there,normal,
35,5,normal,hello there,normal,
16,4,normal,hello there,normal,
15,8,normal,hello there,normal,
45,5,normal,hello there,normal,
89,8,normal,hello there,normal,
90,2,normal,hello there,normal,
94,1,normal,hello there,normal,
87,56,normal,hello there,normal,
65,89,normal,hello there,normal,
33,65,normal,hello there,normal,
66,56,normal,hello there,normal,
22,112,normal,hello there,normal,
15,196,normal,hello there,normal,
14,186,normal,hello there,normal,
23,54,normal,hello there,normal,
54,35,normal,hello there,normal,
95,16,normal,hello there,normal,
7,15,normal,hello there,normal,
8,45,normal,hello there,normal,
6,89,normal,hello there,normal,
5,90,normal,hello there,normal,
4,94,normal,hello there,normal,
8,87,normal,hello there,normal,
5,65,normal,hello there,normal,
8,33,normal,hello there,normal,
2,66,normal,hello there,normal,
1,22,normal,hello there,normal,
9,15,normal,hello there,normal,
5,14,normal,hello there,normal,
3,23,normal,hello there,normal,
5,54,normal,hello there,normal,
56,95,normal,hello there,normal,
46,7,normal,hello there,normal,
121,8,normal,hello there,normal,
68,6,normal,hello there,normal,
17,5,normal,hello there,normal,
23,4,normal,hello there,normal,
22,8,normal,hello there,normal,
49,5,normal,hello there,normal,
54,8,normal,hello there,normal,
123,2,normal,hello there,normal,
165,1,normal,hello there,normal,
185,9,normal,hello there,normal,
155,5,normal,hello there,normal,
174,3,normal,hello there,normal,
165,5,normal,hello there,normal,
56,56,normal,hello there,normal,
89,46,normal,hello there,normal,
95,121,normal,hello there,normal,
68,68,normal,hello there,normal,
35,17,normal,hello there,normal,
48,23,normal,hello there,normal,
26,22,normal,hello there,normal,
47,49,normal,hello there,normal,
98,54,normal,hello there,normal,
158,123,normal,hello there,normal,
169,165,normal,hello there,normal,
189,185,normal,hello there,normal,
145,155,normal,hello there,normal,
152,174,normal,hello there,normal,
136,165,normal,hello there,normal,
58,56,normal,hello there,normal,
111,89,normal,hello there,normal,
123,95,normal,hello there,normal,
56,68,normal,hello there,normal,
63,35,normal,hello there,normal,
98,48,normal,hello there,normal,
74,26,normal,hello there,normal,
33,47,normal,hello there,normal,
42,98,normal,hello there,normal,
45,158,normal,hello there,normal,
56,169,normal,hello there,normal,
86,189,normal,hello there,normal,
93,145,normal,hello there,normal,
36,152,normal,hello there,normal,
25,136,normal,hello there,normal,
45,58,normal,hello there,normal,
87,111,normal,hello there,normal,
56,123,normal,hello there,normal,
89,56,normal,hello there,normal,
65,63,normal,hello there,normal,
56,98,normal,hello there,normal,
112,74,normal,hello there,normal,
196,33,normal,hello there,normal,
186,42,normal,hello there,normal,
54,45,normal,hello there,normal,
35,56,normal,hello there,normal,
16,86,normal,hello there,normal,
15,93,normal,hello there,normal,
45,36,normal,hello there,normal,
89,25,normal,hello there,normal,
90,45,normal,hello there,normal,
94,87,normal,hello there,normal,
87,56,normal,hello there,normal,
65,89,normal,hello there,normal,
33,65,normal,hello there,normal,
66,56,normal,hello there,normal,
22,112,normal,hello there,normal,
15,196,normal,hello there,normal,
14,186,normal,hello there,normal,
23,54,normal,hello there,normal,
54,35,normal,hello there,normal,
95,16,normal,hello there,normal,
7,15,normal,hello there,normal,
8,45,normal,hello there,normal,
6,89,normal,hello there,normal,
5,90,normal,hello there,normal,
4,94,normal,hello there,normal,
8,87,normal,hello there,normal,
5,65,normal,hello there,normal,
